OBJECTID,invasive_dist_mean
20062,1508.2008637423746
20068,1841.1092147714726
20102,692.5213909307386
7315,337.80485650126667
15635,254.5155671389803
16021,707.0384154436969
16958,2844.692835596758
335,2757.9636435543234
519,12317.000446537299
520,12317.000446537299
521,12317.000446537299
890,12077.251612914859
932,13047.12272434684
1410,13913.357751135034
1460,13270.064130301756
1477,3820.2824232889243
1482,7908.733149470808
1484,13727.174642021268
1510,715.0341383803807
1516,3271.84746293453
1529,1608.422116740796
1544,1721.4127604741084
1559,10688.443047423129
1575,6992.525299271961
1596,475.7406882558736
1689,1070.2531700936543
1725,470.81638424548555
2143,4485.160588210386
2189,6310.677047871602
2221,5996.933296197156
2244,1197.0534975472929
2291,608.7597597788349
2300,2044.4076092237535
2315,14293.073243656401
2325,4142.178482064832
2343,1393.5243628243995
2376,11864.117993668919
2392,10911.443152872178
2400,6875.710138755305
2644,5588.401369638849
2741,3220.330430247546
2746,2723.3717105625874
3131,11467.615020240295
3175,1999.4935608013523
3592,13168.896244226813
3695,6900.574685432688
3708,258.5902728679364
3741,11178.589049828193
3762,5586.598902170943
3990,2242.893917617329
4023,9664.160704733687
4108,5864.748668520112
4133,11668.006828720032
4139,9294.278599340865
4149,4567.663704585331
4152,2352.199500799444
4180,1260.7795794636215
4389,10200.87182691882
4454,3403.452305171537
4499,16737.328141870858
4622,2175.8371543858443
4650,10070.190348723469
4707,13538.034042790172
4712,1684.676632769007
4740,849.2663050309404
4975,8221.151803067332
4976,1376.3487434791264
4997,3377.1335393239397
5070,11397.707589930249
5137,2226.073682909998
5199,4225.516131768239
5220,9842.84547929456
5230,10660.218779149312
5304,5915.083066486874
5347,1516.5704986230662
5601,4832.594709188514
5656,12041.90859764022
5709,13352.604069625966
5817,3892.7246042340953
5873,587.8957660138342
5879,14658.367266961677
5881,4862.701543238269
5888,1574.590958188901
5889,1376.2687725608473
5906,10461.067312588135
5911,2403.9299747091945
5916,8926.149270513093
5919,5198.492637096651
5929,9946.269401699954
5940,13847.36530470675
6034,968.0963073037761
6047,1312.9917798663666
6061,6060.338537620359
6098,911.8155493359413
6111,3702.6361010259566
6114,1482.689722543048
6132,9793.969770886628
6193,12202.294893302167
6208,6944.102559974216
6211,303.2433019069248
